INFO:root:Current version: 0.1.0-120-g379d85b

INFO:root:Device 'dennis-VirtualBox' starting experiment 'PolicySizeExperiment' with timestamp '2016-10-05 10-46-40', running 100 times
INFO:root:Run configurations: {'setup_authsetup': 'once', 'register_keygen': 'once'}
INFO:root:Measure interval: 0.1
INFO:root:Authority descriptions: [{'name': 'AUTHORITY0', 'attributes': ['ONE@AUTHORITY0', 'TWO@AUTHORITY0', 'THREE@AUTHORITY0', 'FOUR@AUTHORITY0', 'FIVE@AUTHORITY0', 'SIX@AUTHORITY0', 'SEVEN@AUTHORITY0', 'EIGHT@AUTHORITY0', 'NINE@AUTHORITY0', 'TEN@AUTHORITY0']}, {'name': 'AUTHORITY1', 'attributes': ['ONE@AUTHORITY1', 'TWO@AUTHORITY1', 'THREE@AUTHORITY1', 'FOUR@AUTHORITY1', 'FIVE@AUTHORITY1', 'SIX@AUTHORITY1', 'SEVEN@AUTHORITY1', 'EIGHT@AUTHORITY1', 'NINE@AUTHORITY1', 'TEN@AUTHORITY1']}]
INFO:root:User descriptions: [{'gid': 'BOB', 'attributes': {'AUTHORITY1': ['FIVE@AUTHORITY1', 'SIX@AUTHORITY1', 'SEVEN@AUTHORITY1', 'EIGHT@AUTHORITY1'], 'AUTHORITY0': ['ONE@AUTHORITY0', 'TWO@AUTHORITY0', 'THREE@AUTHORITY0', 'FOUR@AUTHORITY0']}}, {'gid': 'DOCTOR', 'attributes': {'AUTHORITY1': ['ONE@AUTHORITY1', 'TWO@AUTHORITY1', 'THREE@AUTHORITY1', 'FOUR@AUTHORITY1', 'FIVE@AUTHORITY1', 'SIX@AUTHORITY1', 'SEVEN@AUTHORITY1', 'EIGHT@AUTHORITY1', 'NINE@AUTHORITY1', 'TEN@AUTHORITY1'], 'AUTHORITY0': ['ONE@AUTHORITY0', 'TWO@AUTHORITY0', 'THREE@AUTHORITY0', 'FOUR@AUTHORITY0', 'FIVE@AUTHORITY0', 'SIX@AUTHORITY0', 'SEVEN@AUTHORITY0', 'EIGHT@AUTHORITY0', 'NINE@AUTHORITY0', 'TEN@AUTHORITY0']}}]
INFO:root:File size: 10485760
INFO:root:Read policy: (ONE@AUTHORITY0 AND SIX@AUTHORITY1) OR (TWO@AUTHORITY0 AND SEVEN@AUTHORITY1) OR (THREE@AUTHORITY0 AND EIGHT@AUTHORITY1)
INFO:root:Write policy: (ONE@AUTHORITY0 AND SIX@AUTHORITY1) OR (TWO@AUTHORITY0 AND SEVEN@AUTHORITY1) OR (THREE@AUTHORITY0 AND EIGHT@AUTHORITY1)
INFO:root:Cases: [ExperimentCase[name=size 1, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1)'}], ExperimentCase[name=size 2, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1)'}], ExperimentCase[name=size 3, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1)'}], ExperimentCase[name=size 4, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1) AND (FOUR@AUTHORITY0 OR FOUR@AUTHORITY1)'}], ExperimentCase[name=size 5, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1) AND (FOUR@AUTHORITY0 OR FOUR@AUTHORITY1) AND (FIVE@AUTHORITY0 OR FIVE@AUTHORITY1)'}], ExperimentCase[name=size 6, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1) AND (FOUR@AUTHORITY0 OR FOUR@AUTHORITY1) AND (FIVE@AUTHORITY0 OR FIVE@AUTHORITY1) AND (SIX@AUTHORITY0 OR SIX@AUTHORITY1)'}], ExperimentCase[name=size 7, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1) AND (FOUR@AUTHORITY0 OR FOUR@AUTHORITY1) AND (FIVE@AUTHORITY0 OR FIVE@AUTHORITY1) AND (SIX@AUTHORITY0 OR SIX@AUTHORITY1) AND (SEVEN@AUTHORITY0 OR SEVEN@AUTHORITY1)'}], ExperimentCase[name=size 8, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1) AND (FOUR@AUTHORITY0 OR FOUR@AUTHORITY1) AND (FIVE@AUTHORITY0 OR FIVE@AUTHORITY1) AND (SIX@AUTHORITY0 OR SIX@AUTHORITY1) AND (SEVEN@AUTHORITY0 OR SEVEN@AUTHORITY1) AND (EIGHT@AUTHORITY0 OR EIGHT@AUTHORITY1)'}], ExperimentCase[name=size 9, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1) AND (FOUR@AUTHORITY0 OR FOUR@AUTHORITY1) AND (FIVE@AUTHORITY0 OR FIVE@AUTHORITY1) AND (SIX@AUTHORITY0 OR SIX@AUTHORITY1) AND (SEVEN@AUTHORITY0 OR SEVEN@AUTHORITY1) AND (EIGHT@AUTHORITY0 OR EIGHT@AUTHORITY1) AND (NINE@AUTHORITY0 OR NINE@AUTHORITY1)'}], ExperimentCase[name=size 10, arguments={'policy': '(ONE@AUTHORITY0 OR ONE@AUTHORITY1) AND (TWO@AUTHORITY0 OR TWO@AUTHORITY1) AND (THREE@AUTHORITY0 OR THREE@AUTHORITY1) AND (FOUR@AUTHORITY0 OR FOUR@AUTHORITY1) AND (FIVE@AUTHORITY0 OR FIVE@AUTHORITY1) AND (SIX@AUTHORITY0 OR SIX@AUTHORITY1) AND (SEVEN@AUTHORITY0 OR SEVEN@AUTHORITY1) AND (EIGHT@AUTHORITY0 OR EIGHT@AUTHORITY1) AND (NINE@AUTHORITY0 OR NINE@AUTHORITY1) AND (TEN@AUTHORITY0 OR TEN@AUTHORITY1)'}]]
INFO:root:Measurements: <enum 'MeasurementType'>
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 1/100, case size 1, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 1, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 1, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 1, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 2, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 2, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 2, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 2, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 3, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 3, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 3, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 3, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 4, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 4, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 4, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 4, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 5, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 5, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 5, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 5, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 6, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 6, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 6, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 6, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 7, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 7, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 7, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 7, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 8, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 8, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 8, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 8, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 9, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 9, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 9, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 9, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 10, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 10, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 10, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 31/100, case size 10, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 1, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 1, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 1, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 1, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 2, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 2, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 2, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 2, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 3, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 3, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 3, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 3, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 4, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 4, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 4, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 4, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 5, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 5, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 5, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 5, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 6, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 6, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 6, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 6, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 7, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 7, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 7, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 7, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 8, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 8, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 8, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 8, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 9, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 9, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 9, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 9, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 10, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 10, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 10, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 32/100, case size 10, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 1, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 1, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 1, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 1, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 2, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 2, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 2, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 2, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 3, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 3, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 3, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 3, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 4, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 4, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 4, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 4, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 5, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 5, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 5, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 5, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 6, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 6, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 6, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 6, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 7, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 7, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 7, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 7, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 8, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 8, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 8, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 8, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 9, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 9, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 9, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 9, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 10, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 10, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 10, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 33/100, case size 10, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 1, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 1, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 1, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 1, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 2, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 2, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 2, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 2, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 3, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 3, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 3, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 3, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 4, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 4, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 4, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 4, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 5, measurement MeasurementType.timings
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 5, measurement MeasurementType.storage_and_network
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 5, measurement MeasurementType.memory
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 5, measurement MeasurementType.cpu
INFO:root:=> Running PolicySizeExperiment with implementation DAC-MACS (1/4), iteration 34/100, case size 6, measurement MeasurementType.timings
